festivalId,festival_title,festival_desc,festival_image,festival_region,festival_place,festival_price,festival_cost,festival_period,festival_start,festival_end
11,제26회 파주장단콩축제,"""웰빙명품! 파주장단콩 세상!""이라는 주제로 개최되는 파주장단콩 축제가 2022. 11. 25. ~ 27.까지 파주 임진각광장에서 파주장단콩 및 지역농축산물 등을 판매할 예정이오니 여러분의 많은 성원 바란다.파주장단콩의 유래옛날부터 콩의 주산지로 알려진 장단군은 본래 고구려의 장천현으로 통일신라 때 장단으로 고쳐불렀으며 1972년 12월 군내면, 장단면,진동면,전서면 등이 파주시에 속하게 되었다.장단지역에서 생산되는 콩은 古來로부터 그 명성이 높았다. 1913년 우리나라 최초의 콩 장려 품종으로 결정된 품종인 ""장단백목""도 바로 이 지역 토종 콩으로 장단지역 콩을 수집, 순계, 분리하여 선발되었다. 1969년 우리나라 최초로 작물시험장에서 인공교배를 통하여 육성보급된 장려품종인 광교(光敎)도""장단백목""과 일본으로부터 도입종인 ""육우3호""와의 교배 육성종이다.콩의 효능콩에는 단백질 40%, 식물성 지방 20%, 탄수화물 35%가 들어있고, 특히 쌀보다 칼슘 122배, 인 26배, 철 16배 정도 많이 함유되어 있으며, 노화, 비만, 혈압조절, 당뇨, 항암, 골다공증, 두뇌발달 등에 좋은 효과가 있음.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1666746620692.jpg,경기도 파주시,파주 임진각광장,무료입장,무료,2022. 11. 25. ~ 27. / 09:00~17:00,2022-11-25,2022-11-27
12,2022 경북사과홍보행사,"최고의 맛과 품질을 자랑하는 경북사과!풍성한 수확의 계절을 맞이하여 소비자와 함께하는 2022 경북사과홍보행사!경상북도 15개 주산지에서 수확한 경북사과의 우수성을 알리고 경북사과 할인판매, 이벤트 등 대한민국 전국민과 함께하는 경북사과축제가 펼쳐진다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1669162583118.jpg,대구시 동구,대구스타디움 서편광장,무료,무료,2022. 11. 25. ~ 27. / 10:00 ~ 17:00,2022-11-25,2022-11-27
13,제4회 운정호수공원 불꽃축제,"파주 운정 호수 공원 불꽃축제는 2022년 11월 26일에 운정 호수 공원 일원에서 펼쳐진다. 부대행사, 콘서트, 개막식, 불꽃쇼 순으로 행사가 진행된다. 화려한 라인업으로 눈과 귀를 즐겁게 할 수 있으며, 마지막 행사인 불꽃쇼를 통해 파주의 아름다움을 만끽하길 바란다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1669162045167.jpg,경기도 파주시,파주시 운정호수공원,무료,무료,2022. 11. 26. / 14:00~19:30,2022-11-26,2022-11-26
14,제7회 서울커피페스티벌 The 7th Seoul Coffee Festival,"커피를 사랑하는 사람들이 커피를 즐길 수 있는 도심 속 글로벌 커피 문화 축제, 서울커피페스티벌.글로벌 대표 커피 비즈니스플랫폼 제21회 서울카페쇼와 동시개최되는 서울커피페스티벌은 전시장 뿐 아니라 도심 곳곳에서 커피 문화를 즐길 수 있는 프로그램이다. 다양한 영역의 아티스트 및 문화 예술 기관과 함께 선보이는 예술 프로그램, 서울 곳곳의 유니크한 카페를 경험할 수 있는 여행 프로그램 등을 선보인다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1666590171973.png,서울시 강남구,"코엑스 전시장, 로비 및 서울 도심 카페","세부 프로그램별 상이 *동시개최행사인 서울카페쇼 전시장 내 프로그램의 경우, 서울카페쇼 입장권 구매 필요, 1일권 : 20,000원 / 다일권 : 40,000원 *코엑스 로비, 서울 도심 카페에서 진행하는 프로그램일 경우, 별도의 입장권은 필요없음",유료,2022. 11. 23. ~ 26.,2022-11-23,2022-11-26
15,2022 성남 e스포츠(SeN) 페스티벌,"※ 11.25~26 행사는 전면 취소되었습니다. 아마추어 e스포츠 대회는 일부 축소되어 진행됩니다.모두가 함께 즐기는 e스포츠 축제인 SeN 페스티벌성남시, 성남산업진흥원과 함께하는 2022 SeN 페스티벌(성남 e스포츠 페스티벌)을 11월 25일(금)부터 26일(토)까지 2일간 성남시청에서 개최한다.  SeN 페스티벌은 성남을 대표하는 축제로 게임유저, 가족, 시민 등 다양한 계층이 소통할 수 있는 게임문화페스티벌이다.SeN 페스티벌에서는 게임에 관심있는 사람이라면 누구나 즐길 수 있는 e스포츠 대회, 시민 참여 프로그램, 교육 프로그램 등 다양한 카테고리의 행사를 만나볼 수 있다. 김상균 교수의 개막강연과 게임 개발자들의 이야기를 들어볼 수 있는 G식백과와 함께보는 인디게임 리뷰, VR게임을 직접 즐길 수 있는 VR게임라운지, 카카오게임즈와 함께하는 다양한 체험프로그램이 준비되어 있다.이번 SeN 페스티벌은 전국 e스포츠 학교대항전인 SeN 챌린지와 함께 진행된다. SeN 페스티벌에서는 약 1개월간 치열한 예선을 펼쳐 선정된 전국의 초?중?고 학교 대표팀들의 결승전을 지켜볼 수 있다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1666746548617.jpg,경기도 성남시,온라인 개최,무료,무료,2022. 11. 25. ~ 26. / 11:00 - 18:00,2022-11-25,2022-11-26
16,제주국제관악제,"제주의 관악은 6?25 한국전쟁을 전후한 어려웠던 시절부터 시작된다. 금빛 나팔소리로 제주사람들의 애환을 달래며, 천진스런 동경과 꿈을 심어주었다. 제주국제관악제는 제주토박이 관악인들에 의해 1995년에 격년제로 시작되었다. 1997년 제2회 대회까지의 개최를 발판으로 1998년에는 전문앙상블, 관악독주 등 소규모의 앙상블축제를 마련했다. 관악의 대중적 호응도와 축제성이 강한 홀수 해의 밴드축제와 병행하여 전문성에 초점을 맞춘 짝수 해의 축제였다. 이후 홀수해의 축제와 짝수해의 축제가 하나로 결합되어 현재까지 이어져오고 있다.제주국제관악제는 야외연주가 용이한 관악의 특성과 함께 제주가 갖고 있는 평화스런 이미지와 여름철 낭만이 조화를 이룬 관악축제이다. 이 축제는 관악만으로 특화된 공연과 콩쿠르의 융화를 통해서 관악의 예술성과 대중성, 전문성 등을 고루 추구하는 한국의 대표적인 음악축제 중의 하나이며 세계적으로 주목받는 전문 관악축제이다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1657502289538.jpg,제주도 제주시,"제주아트센터, 서귀포예술의전당, 세계자동차&피아노박물관",무료,무료,2022. 11. 18. ~ 21. / 19:30 - 21:00,2022-11-18,2022-11-21
17,2022 세계 라면 축제,부산국제영화제의 성공 된 축제와 국제 문화 도시에 걸맞은 창조적인 다양한 문화 예술이 공존하고 젊은 Contents 문화를 선도하는 지역의 이미지를 지향하며 시민의 자긍심을 고취 시키고자 기획된 축제이다.,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1663895606376.jpg,부산시 부산진구,부산광역시 일원,"10,000원",유료,2022. 10. 1. ~ 11. 20. / 10:00 - 24:00,2022-10-01,2022-11-20
18,벽초지수목원 가을꽃 국화축제,"365일 꽃이 지지 않는 벽초지 수목원의 2022년 가을꽃 국화축제가 시작된다. 아름다운 가을꽃들을 감상하며 힐링의 순간을 만끽해 보자. 가을꽃 국화축제 기간 동안 벽초지 수목원에서는 국화를 비롯해 다양한 꽃들을 즐길 수 있다. 또한, 설렘의 공간에 설치된 국화 조형물은 훌륭한 사진 촬영 명소가 되어줄 것이다. 자유의 공간에는 가을을 만끽할 수 있는 그라스 등 수십 종의 가을 식물들이 기다리고 있고, 플라워힐에서는 각종 희귀 국화들이 전시, 판매한다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1663567491540.jpg,경기도 파주시,벽초지수목원,"관람요금: 성인 9,500원 / 청소년 7,500원 / 어린이 6,500원 / 경로, 장애, 국가유공자 7,500원 / 36개월 미만 영, 유아 무료",유료,2022. 9. 23. ~ 11. 20.,2022-09-23,2022-11-20
19,2022 인천국제디자인페어,"디자인으로 생각하는 산업, 환경, 지속가능 도시 인천복잡하게 얽혀있는 환경, 사회, 지배구조(ESG)를 디자인의 관점으로 본질을 꿰뚫어 보며 다양한 분야에서의 융합 다지인을 적용한 지역 디자인 전시ESG불확실한 상황 속 새로운 성공 전략이 요구되는 현재, 우리 사회는 ‘성장 중심’에서 지속 가능한 사회로 패러 다임을 전환하였다. 경제적·사회적·환경적 책임을 바탕으로 지속가능한 발전을 추진하는 인천이 되기를 바라며 사회를 보다 안정적으로 지속시키기 위해 환경(Environment)과 사회(Social)를 해치는 의사결정(Governance)을 해서는 안 된다는 것이 지속 가능사회를 위한 발걸음이다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1667524184433.jpg,인천시 연수구,인천가톨릭대학교 송도국제캠퍼스 RIVUS갤러리,무료,무료,2022. 11. 17. ~ 19. / 10:00~18:00,2022-11-17,2022-11-19
20,사계로 페스티벌,"지역주민과 마을 소상공인이 함께 만드는 축제이다.사계로 페스티벌(Sagye-ro Festival)은 사계리의 도로명 주소 ‘사계로’와 ‘사계로 가자’라는 두 가지 중의적 의미를 담고 있다.사계 마을의 문화를 담은 진정한 의미의 로컬 문화를 관광객과 함께 펼치는 장이 되었으면 한다.다음 스토리는 ‘고종달 설화’를 바탕으로 만들어졌다.사계리 마을 곳곳에 터를 잡고 있는 길냥이들은 오늘도 평화롭다. 따사로운 햇볕에 식빵을 굽고 있는 고양이... 인 줄 알았지만, 옥황 상제의 부름을 받고 사계 마을을 지키는 비범한 용사들이었다고 한다.산방산은 본디 큰 인물을 배출하는 명당으로 바다로 뻗어 내린 바위 언덕에 큰 용이 자리 잡고 있는 신성한 곳이다.하지만 산방산의 이 신성함을 시기하며 두려워하는 어둠의 무리가 암살자 고종달을 보내 그 맥을 끊고자 하였다.그리하여 사계리 마을에 숨어든 고종달이 용의 등을 단칼에 베었고 사계리를 뒤덮은 용의 울음소리가 그치지 않으니 마을 사람들이 괴로운 형세이다.11월 19일 단 하루, 사계리 마을을 구할 고양이 용사들이여!마을에 숨어든 암살자 고종달을 잡아들여 용의 울음을 멈추게 하고 사계 마을의 신성함을 되찾도록 하여라.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1667435001338.jpg,제주도 서귀포시,제주 서귀포시 안덕면 사계남로 202 사계용해경로당 / 산방로 358 스테이더몽,"1. 놀멍 : 3,000원 2. 들으멍 : 5,000원 3. 다하멍 [통합권] : 7,000원 [* 사계리 주민 및 사계리 제휴 상점 이용 시 티켓 제공]",유료,2022. 11. 19. / 13:00 - 22:00,2022-11-19,2022-11-19
21,거제몽돌야시장,거제몽돌야시장은 거제 전통시장에서 처음으로 개장한 야시장으로 거제고현시장에서 이번해 말까지 매주 금요일과 토요일에 열린다.거제고현시장을 대상으로 2021년부터 추진하고 있는 문화관광형시장 육성사업의 일환으로 기획되었다. 야시장을 통해 거제고현시장의 야간시간대 소비자 유입수를 증가시켜 전통시장을 활성화시키는 것이 거제몽돌야시장의 추진 목표이다.,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1663312237871.jpg,경상남도 거제시,거제고현시장 공영주차장 옆 공원,무료,무료,2022. 11. 18. ~ 19,2022-11-18,2022-11-19
22,대구국제오페라축제,"※ 4~5일 예정된 <신데렐라>가 12. 23~24.로 연기되었습니다.대구오페라하우스는 대한민국 오페라의 중심이다. 오페라 제작과 공연은 물론 이를 콘텐츠로 한 예술교육을 실시하고 실력 있는 성악가를 육성해오고 있다. 관련 전문가의 이목이 집중되고, 전국의 애호가들이 방문하는 극장이 되었다. 동시에 해를 거듭하면서 해외 유명 오페라극장이나 단체들과의 네트워킹이 더욱 활발해지고, 국제적으로 영향력과 존재감이 더해가고 있다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1628640646413.jpg,대구시,대구오페라하우스,유료,유료,2022. 9. 23. ~ 11. 19.,2022-09-23,2022-11-19
23,허브아일랜드 핑크뮬리축제,"허브아일랜드의 가을 대표 축제인 핑크 뮬리 축제. 마음의 여유를 찾고, 핑크 뮬리와 인생 사진을 남길 수 있다. 히비스커스 아이스크림은 핑크 뮬리 축제 기간에만 먹을 수 있는 이색 먹거리!",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1666745514875.jpg,경기도 포천시,허브아일랜드,"입장료 성인: 9,000원 우대: 7,000원 36개월 이하 유아: 무료",유료,2022. 9. 10. ~ 11. 15.,2022-09-10,2022-11-15
24,광화문국제아트페스티벌,"광화문 광장은 대한민국의 역사적 현장 속에서 민주화의 상징과도 같은 존재이다. 시민들의 적극적인 권리행사나 소통의 광장으로 자리매김 해오며, 월드컵이 열리고 시민들의 자발적 거리응원이 축제의 장으로 발전하면서 더욱 광장으로서의 역할에 충실할 수 있었다.  역사 속의 유산이 아닌 국민이 함께 참여하는 문화공간으로써, 나아가 세계 속의 광장으로 그 존재를 알리고 있다.<광화문국제아트페스티벌>은 시민 문화축제로서 전시 활성화의 취지에 걸맞은 다양할 부대행사를 개최하여왔다. 매 회 행사마다 미술인 및 시민의 참여도를 위해 다양한 퍼포먼스를 시도해 왔으며 전시관람에만 국한하지 않고 다양한 볼거리를 제공하는데 만전을 기하였다. 체험부스에는 색칠심리, 도자체험, 은공예, 가죽공예 등 다양한 체험 및 아트 상품으로 전시의 질을 더욱 풍성하게 한다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1667967397934.png,서울시 종로구,"세종문화회관 미술관, 광화문 광장",무료,무료,2022. 11. 2. ~ 15.,2022-11-02,2022-11-15
25,휴애리 핑크뮬리 축제,"2022 휴애리 핑크 뮬리 축제는 서귀포시 남원읍 신례리에 위치한 휴애리의 대표 가을 축제이다. 올해로 5번째인 이번 축제는 9월 15일부터 시작 예정이며, 예년과 달리 공원 곳곳에 더욱 풍성하게 준비된 핑크 뮬리가 방문하시는 모든 분들을 반길 것으로 예상된다. 특히, 파란 가을 하늘이 인상적인 제주에서 핑크빛 핑크 뮬리와 함께 멋진 인생 사진을 남겨볼 수 있어 벌써부터 많은 분들의 관심을 얻고 있다. 또한 작년과 또 다른 특별한 풍경으로 핑크 뮬리를 준비하여 답답한 일상에서 위로를 받고 싶은 분들에게 더욱 매력적인 시간이 될 것이다. 휴애리 핑크 뮬리 축제에는 핑크 뮬리뿐만 아니라 감귤 체험도 함께 해 볼 수 있어, 아이를 동반한 가족에게는 교육과 학습의 시간을, 제주감귤을 좋아하시는 분들에겐 행복한 시간이 될 것이다. 휴애리는 여러 해 전부터 지역사회 환원 차원에서 제주도 내 장애인 단체, 보육원, 양로원 등은 축제 때마다 무료입장(사전예약 필수)을 진행하고 있으며 도민과 관광객 가운데 3자녀 이상(소인, 청소년) 입장료 50% 할인행사를 별도로 진행하고 있다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1631498653848.jpg,제주도 서귀포시,휴애리 자연생활공원,"성인:13,000원/단체:11,000원/도민,장애우,유공자,경로우대:6,500원 / 청소년:11,000원/단체:9,000원/도민, 장애우 :5,500원 / 어린이:10,000원/단체:8,0000원/도민, 장애우 :5,000원 / 단체는 30인 이상[학생단체(수학여행)등 방문 시 별도 문의 요망] / 경로할인은 만 65세 이상(신분증 제출) / 만 24개월까지는 무료입장 / 세자녀 50%할인(자녀만 할인혜택, 고등학생까지) / 제주특별자치도민, 장애인, 군경은 반드시 신분증 및 증명서를 제시",유료,2022. 9. 15. ~ 11. 15. / 9:00 - 18:00(입장마감 16:30),2022-09-15,2022-11-15
26,문화인 쌀롱데이,"문화인 쌀롱데이는 문화특화지역 중심 문화도시 사업의 일환으로 전시 공간 및 카페 인프라를 갖춘 순천 원도심 일원에서 즐기는 작은 축제이다.순천문화의 거리 내 카페, 공방, 식당, 옷가게, 플리마켓에서 할인쿠폰을 사용할 수 있으며 품격있는 공연을 만나보자.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1668039081829.jpg,전라남도 순천시,순천문화의거리 일원,무료,무료,2022. 11. 12. ~ 13. / 12:00~21:00,2022-11-12,2022-11-13
27,2022 보드게임페스타,"‘서울보드게임페스타’는 서울시 후원, 서울산업진흥원과 (사)한국보드게임산업협회가 공동 주관하는 보드게임 체험 박람회로 2015년부터 개최하였으며,?2022년부터 보드게임페스타라는 명칭으로 (사)한국보드게임산업협회에서 행사를 주최, 주관하게 된다.세계적인 가족 놀이 문화이자 교육 문화인 보드게임을 널리 알리기 위해 마련한 축제형 보드게임?무료 체험 행사로 관람객에게 보드게임 체험, 보드게임대회 및 이벤트를 제공하여 보드게임만의 즐거움을 알리고 있다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1667523923256.jpg,서울시 강남구,"SETEC 1, 2, 3전시장",무료,무료,2022. 11. 12. ~ 13. / 10:00~18:00,2022-11-12,2022-11-13
28,제4회 가족과 함께하는 진안고원 김치보쌈축제,"남한 유일의 고원지대인 진안고원에서 재배되는 청정 고랭지 농산물(배추, 고추 등)을 활용한 한국 전통문화인 ‘김장’을 지역특화 축제화 하여 관광객 유치를 통해 진안군 농산물을 홍보한다.청정지역 진안고원에서 자란 신선한 고랭지 배추와 재료들로 가족과 함께 김치담그기 체험 및 다양한 프로그램을 경험할 수 있는 김장문화 축제이다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1666920047302.jpg,전라북도 진안군,진안고원시장 주차장,무료(김치 담그기 행사 부분적 유료),무료,2022. 11. 12. ~ 13. / 10:00~16:00,2022-11-13,2022-11-13
29,제12회 서울미래연극제 (The 12th ST-Future),"2022년 ""나는 연극한다 WHY NOT?""을 가치로 우리에게 펼쳐진 뉴노멀 시대에 연극의 미래를 제시할 도전적인 작품 5편과 초청공연작 1편이 여러분을 찾아간다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1538641012138.jpg,서울시 동대문구,"홍익대 대학로 아트센터 소극장, 씨어터 쿰",유료,유료,2022. 10. 20. ~ 11. 13.,2022-10-20,2022-11-13
30,고흥유자석류축제,"-대표 프로그램: 유자찍고,선물받고,힐링하고(유자 해피 포토존, 유자 설렘 포토존), 유자석류청 담그기 단체 체험-상설운영: 동참하고 선물받고(유자무게 맞추기, 석류즙 빨리 마시기, 유자석류 OX퀴즈) -체험행사: 소원을 달아봐, 유자석류 에코백 만들기, 고흥커피1일 바리스타 체험, 유자따기, 유자향 비누, 유자 마카롱, 석류알까기 & 청담그기, 유자 오란다, 유자향기 체험관, 유자청 담그기, 또띠아 유자피자, 유자,석류 천연염색, 포토존 사진촬영, 무료 사진인화 -특별체험: 맛있는 9미레스토랑, 수산물밀키트 요리교실, 농특산물 퓨전 요리교실, 고흥 브랜드 빵 체험, 고흥한우 시식, 어린이놀이터, 전동카트 타기 -판매부스: 고흥9미 먹거리장터, 농수산물직거래장터, 할매장터, 고흥 관광두레, 유자석류 생산자단체 -부대행사: 유자 금은보화 둘레길, 대한민국 유자1번지길 포토존,버스킹,먹거리 장터, 유자석류 어린이 사생대회, 돌아온 청춘 예술공연",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1666590038191.jpg,전라남도 고흥군,전남 고흥군 풍양면 한동리 일원,무료,무료,2022. 11. 10. ~ 13.,2022-11-10,2022-11-13
